"","tk","id","cum.emis.perc"
"52","A","3",87.0857991781118
"78","A","5",86.0485461230669
"104","A","6",74.5400295014599
"156","A","9",87.0548676976317
"182","A","10",81.2534185141127
"208","A","12",81.4110696225803
"260","A","15",81.9466226451822
"286","A","16",81.7521678814751
"312","A","17",81.1748467827403
"381","B","1",64.4167236016097
"450","B","3",88.6343057344065
"518","B","4",76.1380426156942
"587","B","5",114.401707867203
"656","B","7",79.0493421126761
"725","B","8",78.6081734607646
"794","B","9",90.3630729376258
"863","B","10",68.3546492354125
"932","B","12",65.5736472635815
"1652","C","1",54.9879920774443
"1742","C","3",51.5026039172055
"1832","C","4",64.2660847482254
"1922","C","5",63.7607068477892
"2012","C","6",75.7003207127889
"2102","C","8",60.913014161549
